iter	Accuracy	MultiClass
0	0.9722990916	0.6870782138
1	0.9837050741	0.4634108461
2	0.9889928932	0.3341127271
3	0.9906039164	0.2499523627
4	0.991578601	0.1893860209
5	0.992329791	0.1465391713
6	0.9933913902	0.1148600255
7	0.9935248661	0.0921540558
8	0.9944514373	0.07345731671
9	0.994713733	0.06002916684
10	0.9949356755	0.050222406
11	0.9951762425	0.04232058492
12	0.9955564937	0.0359194914
13	0.9956775532	0.03106288714
14	0.9957194585	0.02813490158
15	0.9958994957	0.02506982007
16	0.9958684548	0.02249991895
17	0.9959988267	0.02060319512
18	0.9960050348	0.01948726711
19	0.9961711037	0.01821039505
20	0.9961974885	0.01671397527
21	0.9963138919	0.01553817374
22	0.9962983714	0.01497637779
23	0.996385286	0.01436857592
24	0.9963309644	0.01389023854
25	0.996419431	0.01346995387
26	0.9964908251	0.01295618022
27	0.9965311783	0.01256434339
28	0.9965994683	0.01220037099
29	0.9966755185	0.01196837679
30	0.9966724144	0.01183946979
31	0.996659998	0.01173591874
32	0.9967112155	0.01149256435
33	0.9967205278	0.01124212898
34	0.9967391524	0.01111156711
35	0.9967764015	0.01092040696
36	0.9968214108	0.01082853964
37	0.9968540037	0.01067389908
38	0.9968834926	0.01053714177
39	0.9969114294	0.01044914173
40	0.9969362621	0.01031599176
41	0.9969905837	0.01015611783
42	0.9969859276	0.01006319196
43	0.9970557697	0.009954868759
44	0.9970557697	0.009875221002
45	0.9970712901	0.009716932261
46	0.9970759462	0.009669951763
47	0.9970697381	0.009575510233
48	0.9971318199	0.009488988868
49	0.9971411322	0.00942651658
50	0.997169069	0.009295450443
51	0.9971628608	0.009253416871
52	0.997170621	0.009171552897
53	0.9972683999	0.009081105382
54	0.9972823683	0.009021966988
55	0.9972823683	0.008919872694
56	0.9972808163	0.008865419601
57	0.9972823683	0.008829065276
58	0.9972994408	0.008780493499
59	0.9973118572	0.008680301087
60	0.9973258256	0.008607078981
61	0.9973351378	0.008534280029
62	0.9973708349	0.008442952272
63	0.9973553144	0.008387227503
64	0.9973522103	0.008341598888
65	0.997373939	0.008302225354
66	0.9973816992	0.008269682866
67	0.997408084	0.00823043571
68	0.9974173963	0.008158517862
69	0.9974468851	0.008128084936
70	0.9974484372	0.008021582485
71	0.9974686138	0.007965239406
72	0.9974903424	0.007914020421
73	0.9974949985	0.007880627066
74	0.9974981026	0.007853140204
75	0.997510519	0.007811985132
76	0.9975151751	0.007764766761
77	0.9975229354	0.007746078206
78	0.9975198313	0.007732031376
79	0.9975369038	0.007696591332
80	0.9975726008	0.00766884744
81	0.9975663926	0.007630465578
82	0.9975726008	0.007604049918
83	0.9975726008	0.007590500154
84	0.997580361	0.007570882212
85	0.9975865692	0.007528705835
86	0.9975881213	0.007498705229
87	0.9975912254	0.007484819344
88	0.9975943294	0.007450874404
89	0.9975989856	0.007431912759
90	0.9976114019	0.007398257666
91	0.9976036417	0.007371733868
92	0.9976051938	0.007339315801
93	0.9976051938	0.00732020683
94	0.9976238183	0.007306820145
95	0.9976362347	0.00727201744
96	0.9976393388	0.007220324024
97	0.9976502031	0.007183095796
98	0.9976408908	0.007162432317
99	0.9976424429	0.007149827163
100	0.9976439949	0.007125628757
101	0.997648651	0.007113023441
102	0.9976719317	0.007083818328
103	0.997681244	0.0070464626
104	0.9976843481	0.007027299485
105	0.9976688276	0.007013727502
106	0.9976688276	0.006997930109
107	0.9976750358	0.006986216263
108	0.997679692	0.006972181499
109	0.9976998685	0.006958952169
110	0.9977029726	0.006949698459
111	0.9977076288	0.006931763891
112	0.9976952124	0.006903621502
113	0.9976998685	0.00687239657
114	0.9977045247	0.006859538544
115	0.9977184931	0.00684046343
116	0.9977433258	0.00683047599
117	0.997749534	0.006818208103
118	0.9977293574	0.006803316051
119	0.997749534	0.006792382719
120	0.9977541901	0.006783481232
121	0.9977650545	0.006768387028
122	0.9977635024	0.006744805994
123	0.9977728147	0.006739408638
124	0.997785231	0.006732275385
125	0.9977898872	0.006719843488
126	0.9977805749	0.006708858633
127	0.9977898872	0.006705482244
128	0.9977929913	0.006700089753
129	0.9977960954	0.006676561058
130	0.9977976474	0.006659264186
131	0.9978069597	0.00663352185
132	0.997819376	0.006619386517
133	0.9978131679	0.006609978667
134	0.997816272	0.006577063641
135	0.9978271363	0.006558569942
136	0.9978348965	0.006538150014
137	0.9978333445	0.006522434813
138	0.9978302404	0.006511333109
139	0.9978364485	0.006486540248
140	0.9978457608	0.006473257327
141	0.9978566251	0.0064661493
142	0.9978752497	0.006455944673
143	0.9978705935	0.006449395121
144	0.9978783538	0.006415299886
145	0.997886114	0.006402514565
146	0.997887666	0.006379467895
147	0.9978923222	0.006376848723
148	0.9978985304	0.006372773853
149	0.9979000824	0.006348424794
150	0.9979047386	0.006342471149
151	0.9978907701	0.006328997409
152	0.9978907701	0.006318377172
153	0.9978969783	0.00630993601
154	0.9978969783	0.006306493389
155	0.9978954263	0.00630121589
156	0.9978923222	0.006297636814
157	0.9979016345	0.006283422536
158	0.9979016345	0.006275156679
159	0.9979062906	0.006257619144
160	0.9978969783	0.006252272773
161	0.9979000824	0.00624634731
162	0.997920259	0.006235393222
163	0.9979218111	0.00622717058
164	0.997918707	0.006222364096
165	0.997920259	0.006213859072
166	0.9979218111	0.00620790101
167	0.9979249151	0.006195650915
168	0.9979249151	0.00619177292
169	0.9979280192	0.006186791439
170	0.9979311233	0.006167394051
171	0.9979357795	0.006164451709
172	0.9979357795	0.00616024722
173	0.9979357795	0.00615442401
